Country,σ′v (kPa),qt − σv (kPa),qt − u2 (kPa),u2 − u0 (kPa),Su (kPa)
Brazil,31.39,232.6313,72.60507,149.3536,14.37662
Brazil,79.19,501.827,428.2595,152.7575,42.04989
Brazil,81.89,490.2754,356.5491,215.6983,40.86311
Brazil,89.99,577.1059,427.3625,239.7334,47.42473
Brazil,92.68,538.3781,401.0264,230.0318,32.25264
Brazil,105.28,505.7651,377.7446,233.3005,42.6384
Brazil,115.17,582.1844,453.885,243.4694,35.24202
Brazil,131.36,467.6416,368.0707,230.7995,34.8104
Brazil,139.46,544.3124,429.9552,253.8172,45.74288
Brazil,144.86,555.1035,432.8417,267.1218,50.12156
Brazil,159.25,728.8873,850.5543,37.42375,49.686
Brazil,20.35,270.8178,183.1907,107.9771,21.978
Brazil,22.27,228.2675,146.158,104.3795,20.08754
Brazil,25.16,203.8966,150.9348,78.1218,16.63076
Brazil,29.01,191.2339,126.9768,93.26715,12.38727
Brazil,30.94,189.3528,136.2598,84.03304,8.75602
Brazil,33.82,189.1891,110.4561,112.553,7.30512
Brazil,36.71,188.8362,114.1681,111.3781,15.12452
Brazil,42.97,224.7761,142.1018,125.6443,22.12955
Brazil,45.86,159.5469,57.04984,148.3571,21.04974
Brazil,53.07,260.043,134.957,178.2091,24.67755
Brazil,59.81,272.2551,160.8889,171.1762,17.58414
Brazil,67.03,326.6372,198.0737,195.5935,30.23053
Brazil,73.28,351.8906,201.8864,223.2842,32.38976
Brazil,79.06,440.6014,266.8275,252.7548,42.05992
Singapore,13.9,233.8119,215.8114,31.9144,10.7725
Singapore,25.48,521.8814,395.0674,152.294,17.27544
Singapore,120.49,1001.272,723.6629,398.099,72.41449
Singapore,142.11,966.9164,655.2692,453.7572,81.71325
Singapore,163.38,1114.578,702.8608,575.0976,90.18576
Singapore,19.94,224.5643,109.331,135.1733,13.4595
Singapore,31.32,339.5714,159.7007,211.1594,21.17232
Singapore,42.7,370.0382,183.0549,229.6833,14.091
Singapore,62.34,300.6658,149.1173,213.9509,43.45098
Singapore,123.24,570.2315,297.1316,396.3398,77.14824
Singapore,13.84,254.393,232.941,35.292,10.33848
Singapore,27.99,521.3417,437.9875,111.3442,42.51681
Singapore,40.57,599.0566,464.8105,174.8161,30.79263
Singapore,59.76,647.2606,471.5064,235.5739,35.01936
Singapore,78.63,726.4626,510.8591,294.2335,52.76073
Singapore,97.49,772.2183,522.4489,347.2594,61.4187
Singapore,118.72,873.5418,685.608,306.6538,53.424
Singapore,17.39,222.4181,146.6673,93.12345,20.64193
Singapore,29.44,387.4304,282.0058,134.8941,25.64224
Singapore,49.51,350.4318,302.6051,97.33666,39.95457
Singapore,69.58,471.2653,395.4231,145.4222,29.2236
Singapore,88.64,1098.25,941.3568,245.5328,61.78208
Singapore,109.72,850.6592,563.1928,397.1864,61.11404
Singapore,129.79,791.3296,578.9932,342.1264,73.85051
Singapore,149.86,1054.265,687.7075,516.4176,104.902
Singapore,169.93,910.8248,635.0284,445.7264,130.8461
Singapore,190,1186.74,722.76,653.79,112.67
Singapore,13.42,450.496,366.7283,97.18764,24.19626
Singapore,24.6,623.61,486.9078,161.3268,26.1006
Singapore,35.78,707.3706,547.0762,196.0744,34.56348
Singapore,45.84,707.2195,543.3874,209.6263,24.2952
Singapore,152.23,962.2458,600.2429,514.0807,105.9521
Singapore,174.83,994.0834,545.1199,623.7934,122.9055
Singapore,195.97,1148.972,664.5343,680.2119,146.9775
Singapore,218.2,1228.466,696.9308,749.7352,135.0658
Singapore,239.71,1322.72,749.8129,812.6169,181.7002
Singapore,13.9,403.9757,327.9288,89.9469,16.1101
Singapore,25.48,627.9036,488.0694,165.3397,18.93164
Singapore,37.06,679.8286,558.0865,158.8392,44.73142
Singapore,48.64,692.3418,569.2339,171.6992,39.73888
Singapore,60.22,724.0251,590.2764,193.9686,40.88938
Singapore,133.7,1010.505,699.9195,444.2851,101.8794
Singapore,156.77,1120.278,724.1206,552.9278,93.12138
Singapore,180.84,1188.3,732.402,636.5568,98.5578
Singapore,211.41,960.2242,513.7263,657.9079,145.0273
Singapore,14.14,252.1869,160.8425,105.4844,12.88154
Singapore,25.92,422.1072,285.2755,162.7517,26.8272
Singapore,37.7,477.6213,308.4614,206.8599,37.0968
Singapore,49.48,497.5709,307.3203,239.7306,57.99056
Singapore,63.49,719.0243,589.1237,193.3905,68.37873
Singapore,14.51,306.9445,190.3277,131.1414,28.97647
Singapore,25.04,483.5725,349.333,159.2544,28.24512
Singapore,36.42,501.7583,351.6715,186.5068,36.34716
Singapore,47.8,501.5654,424.3684,124.997,36.6626
Singapore,14.53,386.5125,289.147,111.8955,26.11041
Singapore,32.65,406.6231,302.0452,137.228,21.05925
Singapore,50.62,507.7186,429.9663,128.4229,31.58688
Singapore,20.97,246.6282,128.9865,138.6117,12.47715
Singapore,40.15,428.3202,246.6816,221.7886,25.3748
Singapore,60.91,1033.947,618.1147,476.7426,84.17762
Singapore,93.95,758.0826,347.5211,504.5115,68.0198
Singapore,16.42,190.0451,152.8538,53.6113,6.86356
Singapore,46.71,756.6553,474.5736,328.7917,53.20269
Singapore,71.28,790.2101,455.9069,405.5832,53.88768
Singapore,95.85,1321.196,778.302,638.6486,66.42405
Singapore,120.01,1432.679,921.0768,631.6126,73.92616
Singapore,144.99,1574.736,808.0293,911.6971,82.49931
Singapore,12.72,140.874,106.5936,47.0004,7.19952
Singapore,28.29,537.1705,334.1049,231.3556,15.50292
Singapore,86.09,981.7704,571.4654,496.3949,80.40806
Singapore,13.94,154.957,84.95036,83.94668,10.77562
Singapore,31.01,464.6538,245.5372,250.1267,27.66092
Singapore,48.08,544.9387,286.076,306.9427,28.94416
Singapore,19.35,535.7822,273.1833,281.9489,17.8407
Singapore,44.23,496.526,209.8714,330.8404,32.50905
Singapore,70.43,902.8422,400.7467,572.5255,67.19022
Singapore,23.75,732.8538,417.5963,339.0075,29.165
Singapore,8.67,322.8708,158.3662,173.1746,13.19574
Singapore,27.24,468.3373,213.7523,281.825,39.47076
Singapore,79.98,1092.927,632.4019,540.4249,58.86528
Singapore,7.27,132.9029,109.6607,30.51219,8.74581
Singapore,21.8,240.9336,153.4502,109.2834,11.0526
Singapore,70.59,633.2629,323.3022,380.4801,46.30704
Singapore,94.75,794.0998,427.3225,461.5273,87.928
Singapore,8.25,228.03,134.1203,102.1598,15.96375
Singapore,19.63,244.3346,139.5497,124.4149,19.13925
Singapore,31.01,257.7551,149.5922,139.1729,21.0868
Singapore,42.39,274.9839,153.4518,163.9221,29.58822
Singapore,55.8,361.1376,206.3484,210.5892,28.3464
Singapore,8.69,305.4796,253.8436,60.32598,11.96613
Singapore,21.56,432.7308,360.7204,93.5704,21.64624
Singapore,44.63,510.835,422.78,132.685,26.86726
Singapore,56.31,522.782,435.5015,143.5905,29.67537
Singapore,61.7,570.9718,457.3204,175.3514,32.6393
Singapore,8.25,239.8275,155.9168,92.16075,17.6055
Singapore,19.63,289.0518,189.881,118.8008,19.55148
Singapore,31.01,319.527,213.2558,137.3123,24.37386
Singapore,42.39,349.2936,237.7655,153.9181,19.75374
Singapore,87.56,698.4661,421.8641,364.162,57.00156
Singapore,7.97,469.2577,348.2412,128.9785,11.7956
Singapore,19.35,588.5303,432.279,175.5819,21.53655
Singapore,30.73,639.1533,463.9001,205.9525,30.88365
Singapore,42.11,700.8367,518.5004,224.4463,32.0036
Singapore,53.49,822.8367,598.3926,277.934,35.57085
Singapore,64.87,907.8557,656.2898,316.4359,38.72739
Singapore,76.25,905.3925,651.0988,330.62,41.9375
Singapore,87.91,938.1755,669.3467,356.7388,53.80092
Singapore,7.27,238.9213,155.0546,91.13672,16.1394
Singapore,17.13,292.7174,185.5008,124.3467,26.32881
Singapore,29.64,465.348,220.492,274.5257,90.13524
Singapore,46.02,1044.01,658.2701,431.7596,48.5511
Singapore,62.4,534.456,197.184,399.672,55.4112
Canada,90.71,1369.812,564.4883,896.0334,112.6618
Canada,94.67,1333.427,450.8185,977.2784,152.1347
Canada,101.73,1548.229,231.2323,1418.625,117.3964
Canada,105.86,1491.462,599.6969,997.6246,120.0452
Canada,114.65,1703.355,795.7857,1022.219,147.7839
Canada,119.3,1631.07,689.9119,1060.338,151.511
Canada,122.05,1603.737,631.1206,1094.666,151.22
Canada,124.98,1627.615,611.5271,1141.067,145.6017
Canada,15.57,266.3404,138.5419,117.6158,21.36204
Canada,24.37,344.08,168.9572,155.6756,21.6893
Canada,38.05,376.1243,184.6947,174.269,24.5042
Canada,54.67,489.0778,233.9876,225.4044,28.64708
Canada,58.58,506.3069,239.5922,237.7176,30.52018
Canada,77.16,582.095,280.7081,267.2051,36.11088
Canada,81.07,584.1094,279.8536,272.9627,37.53541
Canada,98.66,791.2532,368.1991,379.7423,44.19968
Canada,119.19,843.746,394.7573,405.1268,50.77494
Canada,141.67,1018.041,487.0615,479.553,58.22637
USA,60.02,700.3134,257.8459,440.1267,55.15838
USA,84.08,807.4202,273.5963,527.0134,52.55
USA,95.18,838.3454,272.8811,556.0416,52.15864
USA,95.18,838.3454,272.8811,556.0416,52.15864
USA,114.62,858.733,248.4962,599.1187,51.46438
USA,118.32,873.0833,245.2774,614.1991,50.40432
USA,122.02,887.9395,250.8731,622.7901,50.0282
USA,131.28,893.4917,235.7789,642.2218,49.23
USA,155.34,907.9623,253.0489,633.0105,48.46608
USA,178.48,950.049,266.8276,655.7355,48.90352
USA,190.51,993.8907,292.8139,673.0718,49.5326
USA,196.98,1017.993,289.3636,695.7334,50.62386
USA,227.52,1195.618,369.265,786.9917,55.05984
USA,227.52,1195.618,369.265,785.8541,55.05984
USA,247.88,1265.427,373.803,846.2623,58.00392
USA,52.61,310.5042,152.2007,210.9135,35.40653
USA,57.5,326.5425,146.855,237.1875,35.305
USA,61.58,338.6284,152.5337,247.7363,33.5611
USA,64.84,365.957,146.279,284.5179,31.18804
USA,68.92,397.6684,171.5419,294.9776,25.63824
USA,79.52,516.9595,259.3942,337.0853,37.93104
USA,85.23,556.6371,283.8159,358.0512,44.57529
USA,90.13,570.9736,260.9264,400.1772,46.59721
USA,100.73,607.0997,260.3871,447.4427,42.10514
USA,107.26,670.2677,293.2488,484.2789,52.12836
USA,121.94,748.8335,423.3757,447.3979,45.23974
USA,126.83,783.0484,462.4222,447.4562,50.09785
USA,130.91,805.0965,488.5561,447.4504,56.02948
USA,141.52,855.913,497.4428,499.9902,72.31672
USA,148.04,862.185,489.1242,521.1008,75.79648
USA,150.49,906.7023,509.8601,547.3321,76.14794
USA,161.09,969.4396,577.8298,552.5387,68.46325
USA,167.62,1047.625,662.6019,552.6431,51.1241
USA,183.12,1104.946,688.165,599.9011,69.5856
USA,188.01,1106.627,694.697,599.9399,78.02415
Sweden,13.97,174.3875,102.5258,85.84565,8.13054
Sweden,16.18,146.8011,81.91934,81.0618,8.72102
Sweden,18.38,139.7431,71.33278,86.79036,9.17162
Sweden,22.06,139.4192,71.12144,90.3357,10.01524
Sweden,25,151.55,81.225,95.35,10.3
Sweden,28.31,149.7316,71.39782,106.6438,10.95597
Sweden,31.99,150.481,67.65885,114.8121,12.70003
Sweden,36.03,167.0351,75.87918,127.2219,13.51125
Sweden,37.87,184.7299,85.01815,137.5817,14.3906
Sweden,40.07,204.2368,96.76905,147.5778,15.42695
Sweden,43.38,213.82,104.2855,152.9579,16.65792
Sweden,46.32,241.4662,119.274,168.5122,18.25008
Sweden,50.37,257.6929,127.5368,180.5765,19.24134
Sweden,54.41,266.1737,131.509,189.0748,20.24052
Sweden,58.09,293.0641,143.0176,208.1365,21.55139
Sweden,62.5,310.375,157.3125,215.5625,22.8125
Sweden,10.43,270.9818,189.68,81.29142,7.46788
Sweden,11.28,266.4787,162.6125,103.8662,7.7832
Sweden,11.91,261.8294,158.0338,103.7957,7.64622
Sweden,14.04,250.7404,139.3891,111.3372,7.28676
Sweden,16.38,261.8834,140.524,121.3758,6.8796
Sweden,19.57,277.483,138.5752,138.9274,9.88285
Sweden,22.77,304.3894,150.3503,154.0391,12.20472
North Sea,29,136.996,107.996,58,22.852
North Sea,62,264.988,157.976,169.012,28.892
North Sea,96,465.024,263.04,297.984,44.736
North Sea,136,1167.968,680.952,623.016,40.528
North Sea,237,1112.952,678.057,671.895,71.574
Norway,14.72,116.7002,54.93504,76.48512,9.58272
Norway,20.38,142.7823,76.91412,86.24816,11.12748
Norway,26.04,142.2305,60.43884,107.8316,8.463
Norway,33.97,161.969,60.43263,135.5063,10.83643
Norway,40.76,226.8294,93.42192,174.1675,12.0242
Norway,46.42,219.0096,82.3955,182.9876,15.87564
Norway,56.61,269.0673,87.91533,237.762,20.71926
Norway,71.32,333.8489,115.3958,289.8445,23.96352
Norway,78.11,385.9415,159.3444,304.7852,21.24592
Norway,86.04,427.7048,109.8731,403.8718,24.00516
Norway,95.09,497.5109,148.3404,444.2605,26.53011
Norway,101.89,547.1493,153.8539,495.2873,38.00497
Norway,113.21,649.9386,236.2693,526.8793,39.84992
Norway,117.73,571.3437,225.2175,463.8562,34.1417
Norway,126.79,934.4423,362.6194,698.6129,44.50329
Norway,136.98,1112.689,472.444,777.2245,85.74948
Norway,155.09,836.4004,335.1495,656.3409,61.72582
Norway,165.28,900.776,406.5888,659.4672,81.8136
Norway,174.33,961.7786,395.5548,740.5538,81.06345
Norway,213.95,1114.68,439.4533,888.9623,73.81275
Norway,319.35,1211.933,478.067,1053.216,112.7306
Sweden,14.91,153.2897,17.23596,150.9638,8.3496
Sweden,18.36,158.2816,13.91688,162.7247,8.55576
Sweden,21.8,172.4816,25.506,168.7756,8.7854
Sweden,24.67,174.5649,17.46636,181.7686,9.71998
Sweden,28.3,178.9692,17.1215,190.1477,11.1502
Sweden,31.93,206.0443,28.76893,209.2054,12.00568
Sweden,35.18,211.7836,30.74732,216.2163,12.34818
Sweden,39.2,205.9176,24.4216,220.696,13.8768
Sweden,43.4,233.926,38.7128,238.6132,15.7108
Sweden,47.04,259.3315,57.05952,249.312,16.98144
Sweden,50.48,255.4793,50.7324,255.2269,18.57664
Sweden,55.26,279.9472,69.40656,265.8006,21.38562
Sweden,61.19,308.7647,88.7255,281.2292,23.19101
Sweden,67.5,363.8925,130.0725,301.32,22.815
Sweden,74.79,321.6718,98.64801,297.8138,22.96053
Italy,38.28,734.8994,283.004,490.2137,72.19608
Italy,42.37,825.1134,317.4784,549.9626,82.02832
Italy,54.18,553.9363,222.5714,385.5449,126.6728
Italy,85.99,2124.813,930.7558,1264.311,35.85783
Canada,221,708.968,474.929,455.039,85.306
